
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:27:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:30:57) | ===> btop++ v.1.3.2
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:30:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:38:27) | ===> btop++ v.1.3.2
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:38:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (11:45:38) | ===> btop++ v.1.3.2
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (11:45:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (12:27:01) | ===> btop++ v.1.3.2
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (12:27:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/26 (17:43:27) | ===> btop++ v.1.3.2
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/26 (17:43:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/27 (21:07:59) | ===> btop++ v.1.3.2
2024/08/27 (21:07:59) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2024/08/27 (21:07:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/27 (21:07:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/27 (21:07:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/27 (21:07:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/27 (21:07:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/28 (11:51:25) | ===> btop++ v.1.3.2
2024/08/28 (11:51:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/28 (11:51:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/28 (11:51:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/28 (11:51:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/28 (11:51:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/01 (11:59:23) | ===> btop++ v.1.3.2
2024/09/01 (11:59:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/01 (11:59:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/01 (11:59:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/01 (11:59:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/01 (11:59:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/01 (12:04:32) | ===> btop++ v.1.3.2
2024/09/01 (12:04:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/01 (12:04:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/01 (12:04:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/01 (12:04:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/01 (12:04:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/01 (14:15:33) | ===> btop++ v.1.3.2
2024/09/01 (14:15:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/01 (14:15:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/01 (14:15:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/01 (14:15:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/01 (14:15:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/08 (17:41:00) | ===> btop++ v.1.3.2
2024/09/08 (17:41:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/08 (17:41:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/08 (17:41:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/08 (17:41:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/08 (17:41:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/08 (17:51:01) | ===> btop++ v.1.3.2
2024/09/08 (17:51:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/08 (17:51:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/08 (17:51:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/08 (17:51:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/08 (17:51:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/11 (14:04:54) | ===> btop++ v.1.3.2
2024/09/11 (14:04:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/11 (14:04:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/11 (14:04:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/11 (14:04:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/11 (14:04:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/11 (15:00:47) | ===> btop++ v.1.3.2
2024/09/11 (15:00:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/11 (15:00:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/11 (15:00:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/11 (15:00:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/11 (15:00:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/18 (00:35:57) | ===> btop++ v.1.3.2
2024/09/18 (00:35:57) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/18 (00:35:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/18 (00:35:57) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/18 (00:35:57) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/18 (00:35:57) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/18 (00:37:54) | ===> btop++ v.1.3.2
2024/09/18 (00:37:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/18 (00:37:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/18 (00:37:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/18 (00:37:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/18 (00:37:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/29 (19:50:35) | ===> btop++ v.1.4.0
2024/09/29 (19:50:35) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/29 (19:50:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/29 (19:50:35) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/29 (19:50:35) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/29 (19:50:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/09/29 (21:11:52) | ===> btop++ v.1.4.0
2024/09/29 (21:11:52) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/09/29 (21:11:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/29 (21:11:52) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/09/29 (21:11:52) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/09/29 (21:11:52) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/01 (22:00:47) | ===> btop++ v.1.4.0
2024/10/01 (22:00:47) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/01 (22:00:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/01 (22:00:47) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/01 (22:00:47) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/01 (22:00:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/02 (11:26:44) | ===> btop++ v.1.4.0
2024/10/02 (11:26:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/02 (11:26:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (11:26:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/02 (11:26:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/02 (11:26:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/02 (18:35:04) | ===> btop++ v.1.4.0
2024/10/02 (18:35:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/02 (18:35:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (18:35:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/02 (18:35:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/02 (18:35:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/02 (19:32:21) | ===> btop++ v.1.4.0
2024/10/02 (19:32:21) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/02 (19:32:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (19:32:21) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/02 (19:32:21) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/02 (19:32:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/07 (23:19:09) | ===> btop++ v.1.4.0
2024/10/07 (23:19:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/07 (23:19:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/07 (23:19:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/07 (23:19:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/07 (23:19:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/08 (17:09:37) | ===> btop++ v.1.4.0
2024/10/08 (17:09:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/08 (17:09:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/08 (17:09:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/08 (17:09:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/08 (17:09:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/08 (17:15:53) | ===> btop++ v.1.4.0
2024/10/08 (17:15:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/08 (17:15:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/08 (17:15:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/08 (17:15:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/08 (17:15:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/11 (11:28:36) | ===> btop++ v.1.4.0
2024/10/11 (11:28:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/11 (11:28:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/11 (11:28:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
